技能ID,单位ID,单位名称,技能名,类型,花费,冷却,次数,射程,针对,效果词条,效果要点,反应触发,反应结果,版本
SK-CORE-10,wind_librarian,小铃,推风,主动,0,—,无限,3格,单个单位,—,把3格内的一个单位沿主轴推开1格；目标格不合法时不发动,无,无,1
SK-CORE-11,wind_librarian,小铃,反应·玩家角色生成火场时改换风向,反应,0,—,每回合1次,—,—,—,下回合改为换风，将着火散页吹向玩家角色所在的一侧,玩家角色本回合生成火场或点燃散页,下回合改为换风，将着火散页吹向玩家角色所在的一侧,1
SK-CORE-12,elder_tracker_hound,老寻,留味,被动,0,—,无限,自身经过的格,地面,气味痕,玩家角色经过的每格留下气味痕，持续3回合,无,无,1
SK-CORE-13,elder_tracker_hound,老寻,循味,主动,0,—,无限,自身移动,本单位,气味痕|移动消耗,沿气味痕移动时移动力+2，并不受浅水、碎晶的额外消耗,无,无,1
SK-CORE-14,elder_tracker_hound,老寻,扑咬,主动,0,—,无限,相邻1格,单个单位,束缚|气味痕,近战造成3点伤害；目标位于气味痕上时改为6点伤害并束缚1回合,无,无,1
SK-CORE-15,elder_tracker_hound,老寻,环鸣,主动,0,2回合,无限,4格,范围内所有单位,藏身,标记4格内所有单位持续1回合；被标记单位藏身无效（藏身系统实装前只公开标记）,无,无,1
SK-CORE-16,elder_tracker_hound,老寻,反应·停留时间延长气味痕,反应,0,—,每格每回合1次,—,—,—,无,玩家角色在同一格停留超过一个自身回合,该格气味痕加深，循味至该格时可直接扑击,1
SK-CORE-17,breach_ram,楔角,锁线,被动,0,—,无限,全场,一个目标格,意图,意图生成时公开锁定目标格与路线；锁定后不擅自变更目标；地形或占位变化时即时公开重算,无,无,1
SK-CORE-18,breach_ram,楔角,贯场冲压,主动,0,2回合,无限,沿路线最多5格,路线上的第一个可受击目标,移动消耗,沿锁定路线推进最多5格并逐格支付移动消耗；对首个可受击目标造成8点伤害；目标为单位时沿最后一步方向推1格,无,无,1
SK-CORE-19,breach_ram,楔角,干地卸压,被动,0,—,无限,自身,本单位,护盾,在非浅水格结束冲压时清空自身护盾，并至下个自身回合结束前无法获得护盾,无,无,1
SK-CORE-20,breach_ram,楔角,浅水冷却,被动,0,—,无限,自身,本单位,浅水,在浅水格结束冲压时由冷却回路泄压，不进入卸压状态,无,无,1
SK-CORE-21,breach_ram,楔角,反应·地形变化时重算路线,反应,0,—,撞空后每场1次,—,—,—,无,路线上的地形或占位发生变化,即时公开重算路线、终点与碰撞物；上一轮撞空后下一轮优先撞击单位,1
SK-SUP-01,barrier_mender,补盾助教,贴墙续盾,主动,0,1回合,无限,4格,一个友军,结构护盾|掩体,为贴着同一堵墙或同一物块且护盾最少的友军提供4护盾,无,无,1
SK-SUP-02,barrier_mender,补盾助教,借障,被动,0,—,2,自身,本单位,结构护盾,一段掩体被拆除时获得4护盾,无,无,1
SK-SUP-03,barrier_mender,补盾助教,反应·优先为受击友军续盾,反应,0,—,每回合1次,—,—,—,无,玩家角色本回合对某个友军造成伤害,下回合优先为该友军续盾,1
SK-SUP-04,rune_arbalist,背弩生,架弩,主动,占一整个回合,—,无限,自身,本单位,—,完成重弩架设；架设回合无法攻击；架设后射程2–5格,无,无,1
SK-SUP-05,rune_arbalist,背弩生,重矢,主动,0,1回合,无限,2–5格,单个单位,攻击线,造成5点物理伤害；相邻两格内无法命中,无,无,1
SK-SUP-06,rune_arbalist,背弩生,退距,被动,0,—,无限,自身,本单位,—,无法命中目标（相邻或无攻击线）时公开后退1格并重新架设,无,无,1
SK-SUP-07,rune_arbalist,背弩生,反应·失去攻击线时更换架设点,反应,0,—,每回合1次,—,—,—,无,背弩生失去攻击线,公开选出新架设点并在下回合重新架设,1
SK-SUP-08,stone_snare,拴索助教,刻印,主动,0,每回合1处,无限,3格,一个空格,约束纹,在空格刻下约束纹持续3回合；进入该格的单位该回合留在原地,无,无,1
SK-SUP-09,stone_snare,拴索助教,石索,主动,0,2回合,无限,3格,单个单位,束缚,造成1点伤害并束缚2回合；施放前公开警告,无,无,1
SK-SUP-10,stone_snare,拴索助教,反应·绕行时前移约束纹,反应,0,—,每回合1处,—,—,—,无,玩家角色刻意绕开约束纹,在玩家角色新路线的下一格补刻一处,1
SK-SUP-11,lantern_revealer,提灯巡查,转灯,主动,0,每回合1次,无限,直线4格,直线上的单位,光带|暗段|破势,投出显影光带（直线4格）；光带上单位无法藏身、护盾被清除并受到1点奥术伤害,无,无,1
SK-SUP-12,lantern_revealer,提灯巡查,反应·藏身时转向显影,反应,0,—,每回合1次,—,—,—,无,玩家角色进入藏身,下回合优先将显影光带转向玩家角色方向,1
SK-SUP-13,prototype_hand,试制员,布放,主动,0,每回合1次,4,相邻格,相邻格,过载装置|护罩发生器|困难地形,每自身回合布放1件试制件至正交相邻空格；全场共4件，先放护罩发生器再放过载装置；试制件均可被双方拆除；相邻格没有空格时不发动,无,无,1
SK-SUP-14,prototype_hand,试制员,引爆,主动,0,每回合1次,无限,相邻1格,一件试制件,过载装置,立即引爆与主角正交相邻的一件过载装置；引爆伤害8点以太、敌我一致,无,无,1
SK-SUP-15,prototype_hand,试制员,反应·装置被拆除时补充布放,反应,0,—,每回合1次,—,—,—,下一回合优先补放一件试制件（库存−1）,玩家角色拆除一件试制件,优先补充布放一件（库存−1）,1
SK-SUP-16,prototype_hand,试制员,反应·玩家角色贴近时引爆,反应,0,—,每回合1次,—,—,—,优先引爆主角所相邻的那一件试制件,玩家角色站在某件试制件相邻,优先引爆该件,1
SK-SUP-17,legacy_storekeeper,老库管,旧脉冲,主动,0,2回合,无限,直线4格,直线上的单位,破势,检定台投出沿通过自身与主角的正交直线、长4格的旧脉冲；直线上每个单位各受5点以太伤害、护盾清空并施加破势；被阻挡视线的物块截断,无,无,1
SK-SUP-18,legacy_storekeeper,老库管,退件,主动,0,每回合1次,无限,5格,场上的一个效果或装置,—,清除场上的一个场地效果或装置（双方来源均包括）；优先清除主角本回合新生成的那一个,无,无,1
SK-SUP-19,legacy_storekeeper,老库管,登记,主动,0,2回合,无限,4格,单个单位,—,为目标挂待检定标记；被标记期间其下一次获得的护盾被优先清除；装备效果的优先清除待接入装备流程,无,无,1
SK-SUP-20,legacy_storekeeper,老库管,反应·场地效果生成时退件,反应,0,—,每回合1次,—,—,—,下一回合优先退掉该效果或装置,玩家角色本回合生成场地效果或放置装置,下回合优先退掉该效果或装置,1
SK-SUP-21,signal_keeper,灯台值守,转镜,主动,0,每回合1次,无限,直线6格,直线上的单位,光带|暗段,投出光柱（直线6格）并随观测方向转动；自身回合结束时柱上单位受到5点以太伤害；被重掩体、建筑或灯藤遮断处形成暗段,无,无,1
SK-SUP-22,signal_keeper,灯台值守,反应·借暗段绕行时转动光柱,反应,0,—,2,—,—,—,无,玩家角色结束移动时不在光柱照明格内（含借遮蔽形成的暗段）,转动观测方向把光柱转向玩家角色新路线；每场2次，方向未改变时不消耗次数,1
SK-NOR-01,tether_hound,寻迹兽,撕咬,主动,0,—,无限,相邻1格,单个单位,束缚,近战造成3点伤害并束缚1回合,无,无,1
SK-NOR-02,tether_hound,寻迹兽,搜查,被动,0,—,无限,相连藤丛,藏身单位,藏身|已知入口,目标藏入灯藤时改赴已知入口搜查；命中摧毁该格灯藤并伤害同格单位,无,无,1
SK-NOR-03,sigil_mauler,替身偶,贴压,主动,0,—,无限,相邻1格,单个单位,破势,近战造成2点伤害并清空护盾、施加破势,无,无,1
SK-NOR-04,shieldguard,盾术生,铭盾冲撞,主动,0,2回合,无限,相邻1格,单个单位,迟缓,造成2点物理伤害并施加迟缓1回合,无,无,1
SK-NOR-05,shieldguard,盾术生,回合整盾,被动,0,—,无限,自身,本单位,护盾,自身回合开始获得2护盾,无,无,1
SK-NOR-06,pyromancer,火矢生,火矢,主动,0,1回合,无限,5格,单个单位,燃烧|攻击线,造成5点火焰伤害并施加燃烧4（持续2个自身回合）,无,无,1
SK-NOR-07,raider,侧锋生,钩刃牵制,主动,0,2回合,无限,相邻1格,单个单位,束缚,造成3点物理伤害并束缚1回合,无,无,1
